{'t': 1.0, 'scaledDist': 2.011, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 3.8, 'scaledDist': 1.122, 'rawEating': True, 'charge': 1, 'confirmed': False}
{'t': 4.0, 'scaledDist': -0.157, 'rawEating': True, 'charge': 2, 'confirmed': False}
{'t': 4.2, 'scaledDist': 1.584, 'rawEating': False, 'charge': 1, 'confirmed': False}
{'t': 4.4, 'scaledDist': 1.634, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 4.6, 'scaledDist': 1.829, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 4.8, 'scaledDist': 1.45, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 5.0, 'scaledDist': 1.414, 'rawEating': True, 'charge': 1, 'confirmed': False}
{'t': 5.2, 'scaledDist': 1.563, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 5.4, 'scaledDist': 1.478, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 5.6, 'scaledDist': 1.48, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 5.8, 'scaledDist': 1.364, 'rawEating': True, 'charge': 1, 'confirmed': False}
{'t': 6.0, 'scaledDist': 1.334, 'rawEating': True, 'charge': 2, 'confirmed': False}
{'t': 6.2, 'scaledDist': 1.246, 'rawEating': True, 'charge': 3, 'confirmed': True}
{'t': 6.4, 'scaledDist': 1.198, 'rawEating': True, 'charge': 4, 'confirmed': True}
{'t': 6.6, 'scaledDist': 1.186, 'rawEating': True, 'charge': 5, 'confirmed': True}
{'t': 6.8, 'scaledDist': 1.264, 'rawEating': True, 'charge': 6, 'confirmed': True}
{'t': 7.0, 'scaledDist': 1.335, 'rawEating': True, 'charge': 7, 'confirmed': True}
{'t': 7.2, 'scaledDist': 1.46, 'rawEating': False, 'charge': 6, 'confirmed': True}
{'t': 7.4, 'scaledDist': 1.608, 'rawEating': False, 'charge': 5, 'confirmed': True}
{'t': 7.6, 'scaledDist': 1.459, 'rawEating': False, 'charge': 4, 'confirmed': True}
{'t': 7.8, 'scaledDist': 1.252, 'rawEating': True, 'charge': 5, 'confirmed': True}
{'t': 8.0, 'scaledDist': 1.076, 'rawEating': True, 'charge': 6, 'confirmed': True}
{'t': 8.2, 'scaledDist': 1.127, 'rawEating': True, 'charge': 7, 'confirmed': True}
{'t': 8.4, 'scaledDist': 1.087, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 8.6, 'scaledDist': 1.211, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 8.8, 'scaledDist': 1.254, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 9.0, 'scaledDist': 1.174, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 9.2, 'scaledDist': 1.273, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 9.4, 'scaledDist': 1.226, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 9.6, 'scaledDist': 1.114, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 9.8, 'scaledDist': 1.091, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 10.0, 'scaledDist': 1.241, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 10.2, 'scaledDist': 1.255, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 10.4, 'scaledDist': 1.213, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 10.6, 'scaledDist': 1.296, 'rawEating': True, 'charge': 8, 'confirmed': True}
{'t': 10.8, 'scaledDist': 1.537, 'rawEating': False, 'charge': 7, 'confirmed': True}
{'t': 11.0, 'scaledDist': 1.951, 'rawEating': False, 'charge': 6, 'confirmed': True}
{'t': 11.2, 'scaledDist': 1.54, 'rawEating': False, 'charge': 5, 'confirmed': True}
{'t': 11.4, 'scaledDist': 2.129, 'rawEating': False, 'charge': 4, 'confirmed': True}
{'t': 11.6, 'scaledDist': 2.046, 'rawEating': False, 'charge': 3, 'confirmed': True}
{'t': 11.8, 'scaledDist': 1.84, 'rawEating': False, 'charge': 2, 'confirmed': False}
{'t': 12.0, 'scaledDist': 2302.157, 'rawEating': False, 'charge': 1, 'confirmed': False}
{'t': 12.2, 'scaledDist': 2270.899, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 12.4, 'scaledDist': 2287.108, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 12.6, 'scaledDist': 2353.057, 'rawEating': False, 'charge': 0, 'confirmed': False}
{'t': 12.8, 'scaledDist': 2309.459, 'rawEating': False, 'charge': 0, 'confirmed': False}
